date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 풍향(16방위),평균 상대습도 시각(hhmi),최대 풍속(m/s),합계 일사량(MJ/m2),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201901,1,4.087096774193548,25.70967741935484,-0.8967741935483872,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,276.1290322580645,1393.4193548387098,4.190322580645161,9.201612903225808,38405,4.0,1,0,0,0,1,0,0,0
201902,2,6.046428571428572,26.0,0.9857142857142857,47.31071428571428,2.644444444444444,1.8428571428571427,6.803571428571429,250.0,1296.9285714285713,4.1071428571428585,11.427142857142856,78028,4.0,1,0,0,0,1,0,0,0
201903,3,12.445161290322584,25.838709677419356,7.0935483870967735,51.303225806451614,2.68,2.0870967741935478,6.574193548387097,260.96774193548384,1416.483870967742,4.72258064516129,13.47483870967742,74191,1.0,0,1,0,0,0,1,0,0
201904,4,17.639999999999993,27.36666666666667,12.12,50.94333333333334,3.6384615384615375,1.8766666666666665,7.386666666666668,216.66666666666663,1434.0666666666666,4.456666666666666,16.737333333333332,130386,1.0,0,1,0,0,0,1,0,0
201905,5,25.64193548387097,24.77419354838709,19.41935483870968,46.48709677419353,5.4,2.0580645161290323,10.129032258064516,246.7741935483871,1308.0,4.580645161290325,22.625483870967745,143546,1.0,0,0,1,0,0,0,1,0
201906,6,27.706666666666663,38.63333333333333,22.50333333333333,60.60666666666666,5.285714285714287,1.7366666666666668,7.836666666666668,224.0,1451.8666666666666,4.003333333333333,19.634,83135,2.0,0,0,1,0,0,0,1,0
201907,7,30.08709677419355,50.03225806451614,25.87741935483871,69.09354838709676,10.23157894736842,1.8290322580645169,4.841935483870966,203.8709677419355,1270.1935483870966,3.9483870967741934,13.773870967741935,48693,2.0,0,0,0,1,0,0,0,1
201908,8,31.635483870967736,44.645161290322584,27.190322580645162,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,216.1290322580645,1358.548387096774,3.819354838709678,16.76689655172414,70899,2.0,0,0,0,1,0,0,0,1
201909,9,27.100000000000005,44.13333333333333,22.64333333333333,65.27,10.753846153846156,2.183333333333333,5.63,221.66666666666663,1310.4333333333334,4.253333333333334,12.892666666666667,159379,3.0,0,0,1,0,0,0,0,1
201910,10,21.76774193548388,38.935483870967744,16.370967741935484,62.16451612903224,7.928571428571429,2.129032258064516,7.629032258064513,211.9354838709677,1333.5806451612902,4.412903225806452,12.7558064516129,195038,3.0,0,0,1,0,0,0,1,0
201911,11,12.933333333333335,33.13333333333333,7.579999999999999,55.899999999999984,9.85,2.1666666666666665,6.773333333333335,245.0,1308.3,4.533333333333333,9.476,162858,3.0,0,1,0,0,0,1,0,0
201912,12,5.274193548387096,37.12903225806452,1.4161290322580642,57.75483870967742,1.1894736842105265,2.1258064516129034,5.296774193548388,231.9354838709677,1170.3548387096773,4.400000000000001,7.201612903225808,53852,4.0,1,0,0,0,1,0,0,0
