date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),최저 초상온도(°C),최다 풍향(16방위),9-9강수(mm),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201802,2,3.2821428571428566,24.392857142857146,-1.6464285714285718,44.9142857142857,4.933333333333334,2.1785714285714284,7.192592592592592,2.3464285714285715,-11.846428571428573,252.14285714285717,6.0200000000000005,73675,4.0,1,0,0,0,1,0,0,0
201803,3,13.596774193548393,33.67741935483871,8.080645161290322,59.20645161290322,4.95,1.9193548387096784,6.7451612903225815,3.4580645161290327,-0.3806451612903223,215.4838709677419,4.9,98111,1.0,0,1,0,0,0,1,0,0
201804,4,18.51333333333333,29.83333333333333,12.986666666666665,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,5.043333333333334,3.2366666666666664,215.0,10.858333333333334,137384,1.0,0,1,0,0,0,1,0,0
201805,5,23.29032258064517,40.87096774193548,18.167741935483875,63.435483870967744,15.857142857142858,1.7193548387096769,7.470967741935484,5.141935483870966,10.051612903225807,220.32258064516128,17.076923076923073,147457,1.0,0,0,1,0,0,0,1,0
201806,6,28.37,39.53333333333333,23.13666666666667,63.03333333333331,14.291666666666664,1.6799999999999995,7.886666666666668,6.086666666666669,15.2,226.33333333333331,17.5,107161,2.0,0,0,0,1,0,0,0,1
201807,7,32.13225806451613,49.29032258064516,27.796774193548387,67.45161290322578,18.56,1.4612903225806453,7.616666666666667,5.774193548387097,21.413333333333334,199.03225806451616,15.175,59624,2.0,0,0,0,1,0,0,0,1
201808,8,33.303225806451614,45.161290322580655,28.761290322580656,64.71935483870966,12.6625,1.6903225806451612,7.5,5.648387096774192,22.25483870967742,186.1290322580645,12.6625,57435,2.0,0,0,0,1,0,0,0,1
201809,9,26.04,38.9,21.496666666666666,60.66,5.708333333333332,1.5633333333333332,7.290000000000001,4.83,14.31,153.66666666666666,6.227272727272728,188897,3.0,0,0,1,0,0,0,1,0
201810,10,18.61290322580645,34.354838709677416,13.05483870967742,59.348387096774175,10.954545454545457,1.5451612903225809,7.8032258064516125,3.5193548387096767,4.096774193548387,204.19354838709685,9.26923076923077,169039,3.0,0,1,0,0,0,1,0,0
201811,11,13.153333333333334,32.73333333333333,7.793333333333335,57.47999999999999,8.78888888888889,1.3966666666666665,5.92,2.37,-0.2599999999999998,195.33333333333331,7.909999999999997,108672,3.0,0,1,0,0,0,1,0,0
201812,12,4.087096774193548,26.48387096774193,-0.6064516129032259,45.75806451612904,2.733333333333334,1.803225806451613,6.4483870967741925,1.8225806451612905,-8.793548387096775,211.9354838709677,1.8222222222222224,70399,4.0,1,0,0,0,1,0,0,0
201901,1,4.087096774193548,25.70967741935484,-0.8967741935483872,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,2.041935483870968,-11.125806451612904,243.54838709677415,0.0,64666,4.0,1,0,0,0,1,0,0,0
201902,2,6.046428571428572,26.0,0.9857142857142857,47.31071428571428,2.644444444444444,1.8428571428571427,6.803571428571429,2.5392857142857146,-7.835714285714286,232.5,2.38,84249,4.0,1,0,0,0,1,0,0,0
201903,3,12.445161290322584,25.838709677419356,7.0935483870967735,51.303225806451614,2.68,2.0870967741935478,6.574193548387097,3.5225806451612898,-2.5935483870967757,240.96774193548384,2.9777777777777783,91944,1.0,0,1,0,0,0,1,0,0
201904,4,17.639999999999993,27.36666666666667,12.12,50.94333333333334,3.6384615384615375,1.8766666666666665,7.386666666666668,4.9300000000000015,1.6166666666666667,227.66666666666663,3.941666666666667,156504,1.0,0,1,0,0,0,1,0,0
201905,5,25.64193548387097,24.77419354838709,19.41935483870968,46.48709677419353,5.4,2.0580645161290323,10.129032258064516,7.422580645161287,8.19032258064516,243.2258064516129,5.4,155493,1.0,0,0,1,0,0,0,1,0
201906,6,27.706666666666663,38.63333333333333,22.50333333333333,60.60666666666666,5.285714285714287,1.7366666666666668,7.836666666666668,5.960000000000003,14.240000000000002,192.66666666666663,6.166666666666668,117601,2.0,0,0,1,0,0,0,1,0
201907,7,30.08709677419355,50.03225806451614,25.87741935483871,69.09354838709676,10.23157894736842,1.8290322580645169,4.841935483870966,4.651612903225806,20.24838709677419,177.74193548387098,11.610526315789473,75664,2.0,0,0,0,1,0,0,0,1
201908,8,31.635483870967736,44.645161290322584,27.190322580645162,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,5.164516129032257,20.964516129032265,180.64516129032262,9.66470588235294,73788,2.0,0,0,0,1,0,0,0,1
201909,9,27.100000000000005,44.13333333333333,22.64333333333333,65.27,10.753846153846156,2.183333333333333,5.63,4.4366666666666665,15.393333333333327,320.3333333333333,10.753846153846151,142530,3.0,0,0,1,0,0,0,0,1
201910,10,21.76774193548388,38.935483870967744,16.370967741935484,62.16451612903224,7.928571428571429,2.129032258064516,7.629032258064513,3.909677419354839,6.974193548387097,276.77419354838713,6.9375,163316,3.0,0,0,1,0,0,0,1,0
201911,11,12.933333333333335,33.13333333333333,7.579999999999999,55.899999999999984,9.85,2.1666666666666665,6.773333333333335,2.7366666666666664,-1.1333333333333333,182.66666666666663,9.8625,125777,3.0,0,1,0,0,0,1,0,0
201912,12,5.274193548387096,37.12903225806452,1.4161290322580642,57.75483870967742,1.1894736842105265,2.1258064516129034,5.296774193548388,1.6903225806451612,-6.470967741935485,182.90322580645162,1.2500000000000002,68460,4.0,1,0,0,0,1,0,0,0
