date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 해면기압(hPa),5.0cm 지중온도(°C),최저 초상온도(°C),1시간 최다 일사량(MJ/m2),9-9강수(mm),최대 풍속(m/s),최저 기온(°C),평균 30cm 지중온도(°C),평균 5cm 지중온도(°C),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201603,3,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,1021.5,14.145161290322578,-1.5419354838709671,2.0970967741935485,6.750000000000001,5.10967741935484,2.3548387096774195,6.8741935483870975,7.7,63928,1.0,0,1,0,0,0,1,0,0
201604,4,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,1013.3399999999997,13.283333333333335,5.253333333333333,2.2606666666666664,6.9818181818181815,5.44,9.05,13.540000000000004,15.513333333333335,57556,1.0,0,0,1,0,0,0,1,0
201605,5,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,1011.2774193548387,13.125806451612899,10.829032258064515,2.5900000000000003,14.590909090909092,5.148387096774194,14.141935483870967,18.648387096774194,21.174193548387095,139123,1.0,0,0,1,0,0,0,1,0
201606,6,28.680000000000003,41.1,23.59666666666667,62.86666666666665,4.533333333333334,2.13,7.656666666666667,1007.3933333333333,13.63333333333333,16.463333333333335,2.373666666666668,4.215384615384616,4.8966666666666665,19.463333333333328,22.95,25.63333333333333,112785,2.0,0,0,0,1,0,0,0,1
201607,7,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,1007.5064516129033,14.829032258064515,21.22903225806452,1.8761290322580648,19.87777777777778,4.390322580645162,23.28709677419355,24.70967741935484,26.92580645161291,110604,2.0,0,0,0,1,0,0,0,1
201608,8,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,1005.5612903225806,16.00967741935484,22.296774193548387,2.1951612903225803,4.792857142857144,4.635483870967742,24.451612903225804,27.1483870967742,29.241935483870964,162446,2.0,0,0,0,1,0,0,0,1
201609,9,27.88999999999999,43.63333333333333,23.08333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,1013.16,17.206666666666667,17.136666666666667,1.961,4.714285714285714,4.25,19.256666666666668,23.25666666666667,23.86333333333333,103916,3.0,0,0,0,1,0,0,0,1
201610,10,21.309677419354838,40.451612903225815,16.080645161290327,62.23225806451613,7.479999999999999,2.119354838709677,6.3129032258064495,1019.2,18.012903225806454,8.774193548387098,1.7125806451612902,6.2333333333333325,4.329032258064517,11.619354838709679,18.274193548387093,17.20967741935484,82470,3.0,0,0,1,0,0,0,1,0
201611,11,11.606666666666667,37.53333333333333,6.7733333333333325,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,1023.2266666666667,18.300000000000008,-0.17000000000000065,1.401,1.2846153846153845,4.616666666666666,2.8233333333333337,10.910000000000002,8.293333333333333,53029,3.0,0,1,0,0,0,1,0,0
201612,12,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,1024.9870967741936,17.919354838709676,-5.6225806451612925,1.259032258064516,5.091666666666667,4.541935483870968,-2.670967741935484,5.164516129032258,2.7032258064516133,50147,4.0,1,0,0,0,1,0,0,0
