date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 20cm 지중온도(°C),0.5m 지중온도(°C),최대 풍속 풍향(16방위),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201703,3,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,6.8032258064516125,6.5354838709677425,264.1935483870968,30410.0,1.0,0,1,0,0,0,1,0,0
201704,4,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,13.526666666666667,12.750000000000002,232.33333333333331,45239.0,1.0,0,0,1,0,0,1,0,0
201705,5,25.435483870967737,30.41935483870968,19.490322580645163,52.287096774193536,2.3000000000000003,2.4290322580645163,9.725806451612904,19.61290322580645,18.80322580645161,255.4838709677419,37342.0,1.0,0,0,1,0,0,0,1,0
201706,6,28.75,33.46666666666667,23.27333333333333,56.60333333333333,5.123076923076923,2.373333333333333,9.506666666666666,24.09666666666667,23.20666666666667,248.0,32216.0,2.0,0,0,0,1,0,0,0,1
201707,7,30.393548387096768,59.67741935483871,26.92258064516129,77.1774193548387,27.0,2.0,3.9709677419354836,26.451612903225797,26.380645161290325,206.1290322580645,23263.0,2.0,0,0,0,1,0,0,0,1
201708,8,29.654838709677428,50.838709677419345,25.916129032258066,70.81935483870967,15.63157894736842,2.2548387096774194,5.361290322580646,26.174193548387088,26.70967741935484,179.35483870967738,26332.0,2.0,0,0,0,1,0,0,0,1
201709,9,27.43333333333333,39.1,22.10333333333334,60.92999999999999,3.888888888888889,1.98,8.058620689655173,23.09333333333333,23.566666666666666,219.33333333333331,39542.0,3.0,0,0,1,0,0,0,1,0
201710,10,22.530000000000005,33.73333333333333,16.409677419354836,56.25806451612904,3.3125,1.9366666666666663,7.423333333333333,18.439999999999994,19.496774193548386,219.33333333333331,56424.0,3.0,0,0,1,0,0,0,1,0
201711,11,10.46,32.166666666666664,5.626666666666668,53.42666666666664,2.9071428571428566,2.0766666666666658,6.070370370370371,9.713333333333336,11.846666666666668,253.33333333333331,26891.0,3.0,0,1,0,0,0,1,0,0
201712,12,2.1580645161290324,33.16129032258065,-1.9290322580645158,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,1.9258064516129028,4.393548387096775,284.0,11540.0,4.0,1,0,0,0,1,0,0,0
201801,1,0.1419354838709677,28.935483870967737,-3.977419354838709,48.03225806451611,0.7727272727272727,1.870967741935484,6.43793103448276,0.07096774193548391,1.9903225806451608,287.0967741935484,8040.0,4.0,1,0,0,0,1,0,0,0
201802,2,3.2821428571428566,24.392857142857146,-1.6464285714285718,44.9142857142857,4.933333333333334,2.1785714285714284,7.192592592592592,-0.6607142857142858,0.5607142857142857,286.42857142857144,11037.0,4.0,1,0,0,0,1,0,0,0
201803,3,13.596774193548393,33.67741935483871,8.080645161290322,59.20645161290322,4.95,1.9193548387096784,6.7451612903225815,6.812903225806452,6.019354838709679,245.16129032258064,26183.0,1.0,0,1,0,0,0,1,0,0
201804,4,18.51333333333333,29.83333333333333,12.986666666666665,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,12.816666666666665,12.343333333333335,247.66666666666663,37187.0,1.0,0,1,0,0,0,1,0,0
201805,5,23.29032258064517,40.87096774193548,18.167741935483875,63.435483870967744,15.857142857142858,1.7193548387096769,7.470967741935484,18.65483870967742,17.73225806451613,243.54838709677415,40966.0,1.0,0,0,1,0,0,0,1,0
201806,6,28.37,39.53333333333333,23.13666666666667,63.03333333333331,14.291666666666664,1.6799999999999995,7.886666666666668,24.01,22.78333333333334,269.3333333333333,33594.0,2.0,0,0,0,1,0,0,0,1
201807,7,32.13225806451613,49.29032258064516,27.796774193548387,67.45161290322578,18.56,1.4612903225806453,7.616666666666667,27.14999999999999,26.093548387096767,233.2258064516129,19380.0,2.0,0,0,0,1,0,0,0,1
201808,8,33.303225806451614,45.161290322580655,28.761290322580656,64.71935483870966,12.6625,1.6903225806451612,7.5,29.06000000000001,28.416129032258066,239.03225806451616,16383.0,2.0,0,0,0,1,0,0,0,1
201809,9,26.04,38.9,21.496666666666666,60.66,5.708333333333332,1.5633333333333332,7.290000000000001,23.40666666666667,24.01666666666667,188.33333333333331,43076.0,3.0,0,0,1,0,0,0,1,0
201810,10,18.61290322580645,34.354838709677416,13.05483870967742,59.348387096774175,10.954545454545457,1.5451612903225809,7.8032258064516125,16.10322580645162,17.599999999999994,245.4838709677419,37953.0,3.0,0,1,0,0,0,1,0,0
