date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201702,2,4.80357142857143,30.285714285714285,-0.2464285714285713,53.664285714285704,1.85,2.4464285714285707,7.5,2.253571428571429,15.682142857142859,10.821428571428573,8.439285714285715,0.975,5.035714285714286,28301,4.0,1,0,0,0,1,0,0,0
201703,3,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,3.770967741935484,14.403225806451607,11.97741935483871,9.087096774193547,8.112903225806452,5.432258064516129,23068,1.0,0,1,0,0,0,1,0,0
201704,4,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,5.526666666666667,13.5,13.183333333333335,9.916666666666668,16.869999999999994,5.766666666666665,26021,1.0,0,0,1,0,0,1,0,0
201705,5,25.435483870967737,30.41935483870968,19.490322580645163,52.287096774193536,2.3000000000000003,2.4290322580645163,9.725806451612904,6.945161290322582,13.296774193548384,14.203225806451616,9.048387096774192,25.00322580645161,5.483870967741939,27236,1.0,0,0,1,0,0,0,1,0
201706,6,28.75,33.46666666666667,23.27333333333333,56.60333333333333,5.123076923076923,2.373333333333333,9.506666666666666,7.153333333333335,13.71,14.73666666666667,8.593333333333332,28.606666666666666,5.1366666666666685,26453,2.0,0,0,0,1,0,0,0,1
201707,7,30.393548387096768,59.67741935483871,26.92258064516129,77.1774193548387,27.0,2.0,3.9709677419354836,3.9580645161290313,15.248387096774195,14.47096774193548,7.787096774193548,28.264516129032263,4.493548387096773,31237,2.0,0,0,0,1,0,0,0,1
201708,8,29.654838709677428,50.838709677419345,25.916129032258066,70.81935483870967,15.63157894736842,2.2548387096774194,5.361290322580646,4.487096774193548,16.76451612903226,13.583870967741936,7.925806451612908,27.66774193548386,4.54516129032258,49720,2.0,0,0,0,1,0,0,0,1
201709,9,27.43333333333333,39.1,22.10333333333334,60.92999999999999,3.888888888888889,1.98,8.058620689655173,5.0793103448275865,17.956666666666667,12.42666666666667,7.38,24.230000000000004,4.196666666666667,0,3.0,0,0,1,0,0,0,1,0
201710,10,22.530000000000005,33.73333333333333,16.409677419354836,56.25806451612904,3.3125,1.9366666666666663,7.423333333333333,3.0516129032258066,18.519354838709692,11.229032258064514,7.69,16.812903225806455,4.276666666666666,33587,3.0,0,0,1,0,0,0,1,0
201711,11,10.46,32.166666666666664,5.626666666666668,53.42666666666664,2.9071428571428566,2.0766666666666658,6.070370370370371,1.9965517241379311,18.63333333333334,10.179999999999998,8.243333333333332,5.4300000000000015,4.526666666666666,28265,3.0,0,1,0,0,0,1,0,0
