date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 시각(hhmi),최저 해면기압 시각(hhmi),최대 순간풍속 풍향(16방위),풍정합(100m),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201801,1,0.1419354838709677,28.935483870967737,-3.977419354838709,48.03225806451611,0.7727272727272727,1.870967741935484,6.43793103448276,1260.0645161290322,1184.2903225806454,262.258064516129,1618.3870967741934,18188,4.0,1,0,0,0,1,0,0,0
201802,2,3.2821428571428566,24.392857142857146,-1.6464285714285718,44.9142857142857,4.933333333333334,2.1785714285714284,7.192592592592592,1476.7142857142858,1491.9285714285709,265.7142857142857,1879.2142857142856,45001,4.0,1,0,0,0,1,0,0,0
201803,3,13.596774193548393,33.67741935483871,8.080645161290322,59.20645161290322,4.95,1.9193548387096784,6.7451612903225815,1368.548387096774,1163.1290322580646,231.61290322580646,1658.4193548387098,42008,1.0,0,1,0,0,0,1,0,0
201804,4,18.51333333333333,29.83333333333333,12.986666666666665,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,1495.8,1245.6666666666667,264.6666666666667,1726.2333333333331,81847,1.0,0,1,0,0,0,1,0,0
201805,5,23.29032258064517,40.87096774193548,18.167741935483875,63.435483870967744,15.857142857142858,1.7193548387096769,7.470967741935484,1435.3225806451612,1440.0645161290322,234.5161290322581,1487.7096774193549,97549,1.0,0,0,1,0,0,0,1,0
201806,6,28.37,39.53333333333333,23.13666666666667,63.03333333333331,14.291666666666664,1.6799999999999995,7.886666666666668,1408.966666666667,1259.2666666666667,245.33333333333331,1456.6333333333334,49852,2.0,0,0,0,1,0,0,0,1
201807,7,32.13225806451613,49.29032258064516,27.796774193548387,67.45161290322578,18.56,1.4612903225806453,7.616666666666667,1490.967741935484,1436.967741935484,212.25806451612902,1260.8064516129034,22117,2.0,0,0,0,1,0,0,0,1
201808,8,33.303225806451614,45.161290322580655,28.761290322580656,64.71935483870966,12.6625,1.6903225806451612,7.5,1417.6774193548388,1366.3548387096773,213.54838709677415,1450.7419354838707,21776,2.0,0,0,0,1,0,0,0,1
201809,9,26.04,38.9,21.496666666666666,60.66,5.708333333333332,1.5633333333333332,7.290000000000001,1429.4,1273.8666666666666,177.0,1347.4333333333334,126902,3.0,0,0,1,0,0,0,1,0
201810,10,18.61290322580645,34.354838709677416,13.05483870967742,59.348387096774175,10.954545454545457,1.5451612903225809,7.8032258064516125,1440.5806451612902,1026.0645161290322,246.7741935483871,1329.9032258064515,93826,3.0,0,1,0,0,0,1,0,0
201811,11,13.153333333333334,32.73333333333333,7.793333333333335,57.47999999999999,8.78888888888889,1.3966666666666665,5.92,1440.0666666666666,1250.8,254.33333333333331,1209.1666666666667,70895,3.0,0,1,0,0,0,1,0,0
